0.000000,0.899388,0.0421462,0,10,20,30,40,0.000000
0.010000,0.899388,0.0421462,0,10,20,30,40,5.000000
0.020000,0.899388,0.0421462,0,10,20,30,40,5.000000
0.030000,0.899388,0.0421462,-8.99388e-05,10,20,30,40,5.000000
0.040000,0.899388,0.0421462,-0.000269779,10,20,30,40,5.000000
0.050000,0.899388,0.0421462,-0.000539481,10,20,30,40,5.000000
0.060000,0.899388,0.0421462,-0.000899009,10,20,30,40,5.000000
0.070000,0.899388,0.0421462,-0.00134832,10,20,30,40,5.000000
0.080000,0.899388,0.0421462,-0.00188739,10,20,30,40,5.000000
0.090000,0.899388,0.0421462,-0.00251617,10,20,30,40,5.000000
0.100000,0.899388,0.0421462,-0.00323462,10,20,30,40,5.000000
0.110000,0.899388,0.0421462,-0.0040427,10,20,30,40,5.000000
0.120000,0.899388,0.0421462,-0.00494039,10,20,30,40,5.000000
0.130000,0.899388,0.0421462,-0.00592763,10,20,30,40,5.000000
0.140000,0.899388,0.0421462,-0.0070044,10,20,30,40,5.000000
0.150000,0.899388,0.0421462,-0.00817065,10,20,30,40,5.000000
0.160000,0.899388,0.0421462,-0.00942635,10,20,30,40,5.000000
0.170000,0.899388,0.0421462,-0.0107715,10,20,30,40,5.000000
0.180000,0.899388,0.0421462,-0.0122059,10,20,30,40,5.000000
0.190000,0.899388,0.0421462,-0.0137298,10,20,30,40,5.000000
0.200000,0.899388,0.0421462,-0.0153429,10,20,30,40,5.000000
0.210000,0.899388,0.0421462,-0.0170452,10,20,30,40,5.000000
0.220000,0.899388,0.0421462,-0.0188368,10,20,30,40,5.000000
0.230000,0.899388,0.0421462,-0.0207176,10,20,30,40,5.000000
0.240000,0.899388,0.0421462,-0.0226875,10,20,30,40,5.000000
0.250000,0.899388,0.0421462,-0.0247466,10,20,30,40,5.000000
0.260000,0.899388,0.0421462,-0.0268947,10,20,30,40,5.000000
0.270000,0.899388,0.0421462,-0.0291318,10,20,30,40,5.000000
0.280000,0.899388,0.0421462,-0.0314579,10,20,30,40,5.000000
0.290000,0.899388,0.0421462,-0.033873,10,20,30,40,5.000000
0.300000,0.899388,0.0421462,-0.036377,10,20,30,40,5.000000
0.310000,0.899388,0.0421462,-0.0389699,10,20,30,40,5.000000
0.320000,0.899388,0.0421462,-0.0416517,10,20,30,40,5.000000
0.330000,0.899388,0.0421462,-0.0444222,10,20,30,40,5.000000
0.340000,0.899388,0.0421462,-0.0472815,10,20,30,40,5.000000
0.350000,0.899388,0.0421462,-0.0502296,10,20,30,40,5.000000
0.360000,0.899388,0.0421462,-0.0532663,10,20,30,40,5.000000
0.370000,0.899388,0.0421462,-0.0563918,10,20,30,40,5.000000
0.380000,0.899388,0.0421462,-0.0596058,10,20,30,40,5.000000
0.390000,0.899388,0.0421462,-0.0629084,10,20,30,40,5.000000
0.400000,0.899388,0.0421462,-0.0662996,10,20,30,40,5.000000
0.410000,0.899388,0.0421462,-0.0697792,10,20,30,40,5.000000
0.420000,0.899388,0.0421462,-0.0733474,10,20,30,40,5.000000
0.430000,0.899388,0.0421462,-0.077004,10,20,30,40,5.000000
0.440000,0.899388,0.0421462,-0.0807489,10,20,30,40,5.000000
0.450000,0.899388,0.0421462,-0.0845823,10,20,30,40,5.000000
0.460000,0.899388,0.0421462,-0.0885039,10,20,30,40,5.000000
0.470000,0.899388,0.0421462,-0.0925139,10,20,30,40,5.000000
0.480000,0.899388,0.0421462,-0.0966121,10,20,30,40,5.000000
0.490000,0.899388,0.0421462,-0.100798,10,20,30,40,5.000000
0.500000,0.899388,0.0421462,-0.105073,10,20,30,40,5.000000
0.510000,0.899388,0.0421462,-0.109436,10,20,30,40,5.000000
0.520000,0.899388,0.0421462,-0.113887,10,20,30,40,5.000000
0.530000,0.899388,0.0421462,-0.118425,10,20,30,40,5.000000
0.540000,0.899388,0.0421462,-0.123052,10,20,30,40,5.000000
0.550000,0.899388,0.0421462,-0.127767,10,20,30,40,5.000000
0.560000,0.899388,0.0421462,-0.13257,10,20,30,40,5.000000
0.570000,0.899388,0.0421462,-0.137461,10,20,30,40,5.000000
0.580000,0.899388,0.0421462,-0.14244,10,20,30,40,5.000000
0.590000,0.899388,0.0421462,-0.147506,10,20,30,40,5.000000
0.600000,0.899388,0.0421462,-0.15266,10,20,30,40,5.000000
0.610000,0.899388,0.0421462,-0.157902,10,20,30,40,5.000000
0.620000,0.899388,0.0421462,-0.163232,10,20,30,40,5.000000
0.630000,0.899388,0.0421462,-0.16865,10,20,30,40,5.000000
0.640000,0.899388,0.0421462,-0.174155,10,20,30,40,5.000000
0.650000,0.899388,0.0421462,-0.179747,10,20,30,40,5.000000
0.660000,0.899388,0.0421462,-0.185428,10,20,30,40,5.000000
0.670000,0.899388,0.0421462,-0.191196,10,20,30,40,5.000000
0.680000,0.899388,0.0421462,-0.197051,10,20,30,40,5.000000
0.690000,0.899388,0.0421462,-0.202994,10,20,30,40,5.000000
0.700000,0.899388,0.0421462,-0.209024,10,20,30,40,5.000000
0.710000,0.899388,0.0421462,-0.215142,10,20,30,40,5.000000
0.720000,0.899388,0.0421462,-0.221347,10,20,30,40,5.000000
0.730000,0.899388,0.0421462,-0.227639,10,20,30,40,5.000000
0.740000,0.899388,0.0421462,-0.234019,10,20,30,40,5.000000
0.750000,0.899388,0.0421462,-0.240486,10,20,30,40,5.000000
0.760000,0.899388,0.0421462,-0.24704,10,20,30,40,5.000000
0.770000,0.899388,0.0421462,-0.253681,10,20,30,40,5.000000
0.780000,0.899388,0.0421462,-0.26041,10,20,30,40,5.000000
0.790000,0.899388,0.0421462,-0.267225,10,20,30,40,5.000000
0.800000,0.899388,0.0421462,-0.274128,10,20,30,40,5.000000
0.810000,0.899388,0.0421462,-0.281117,10,20,30,40,5.000000
0.820000,0.899388,0.0421462,-0.288194,10,20,30,40,5.000000
0.830000,0.899388,0.0421462,-0.295358,10,20,30,40,5.000000
0.840000,0.899388,0.0421462,-0.302608,10,20,30,40,5.000000
0.850000,0.899388,0.0421462,-0.309946,10,20,30,40,5.000000
0.860000,0.899388,0.0421462,-0.31737,10,20,30,40,5.000000
0.870000,0.899388,0.0421462,-0.324881,10,20,30,40,5.000000
0.880000,0.899388,0.0421462,-0.332479,10,20,30,40,5.000000
0.890000,0.899388,0.0421462,-0.340163,10,20,30,40,5.000000
0.900000,0.899388,0.0421462,-0.347934,10,20,30,40,5.000000
0.910000,0.899388,0.0421462,-0.355792,10,20,30,40,5.000000
0.920000,0.899388,0.0421462,-0.363737,10,20,30,40,5.000000
0.930000,0.899388,0.0421462,-0.371768,10,20,30,40,5.000000
0.940000,0.899388,0.0421462,-0.379886,10,20,30,40,5.000000
0.950000,0.899388,0.0421462,-0.38809,10,20,30,40,5.000000
0.960000,0.899388,0.0421462,-0.396381,10,20,30,40,5.000000
0.970000,0.899388,0.0421462,-0.404758,10,20,30,40,5.000000
0.980000,0.899388,0.0421462,-0.413221,10,20,30,40,5.000000
0.990000,0.899388,0.0421462,-0.421771,10,20,30,40,5.000000
1.000000,0.899388,0.0421462,-0.430407,10,20,30,40,5.000000
1.010000,0.899388,0.0421462,-0.43913,10,20,30,40,5.000000
1.020000,0.899388,0.0421462,-0.447939,10,20,30,40,5.000000
1.030000,0.899388,0.0421462,-0.456834,10,20,30,40,5.000000
1.040000,0.899388,0.0421462,-0.465815,10,20,30,40,5.000000
1.050000,0.899388,0.0421462,-0.474882,10,20,30,40,5.000000
1.060000,0.899388,0.0421462,-0.484036,10,20,30,40,5.000000
1.070000,0.899388,0.0421462,-0.493276,10,20,30,40,5.000000
1.080000,0.899388,0.0421462,-0.502601,10,20,30,40,5.000000
1.090000,0.899388,0.0421462,-0.512013,10,20,30,40,5.000000
1.100000,0.899388,0.0421462,-0.52151,10,20,30,40,5.000000
1.110000,0.899388,0.0421462,-0.531094,10,20,30,40,5.000000
1.120000,0.899388,0.0421462,-0.540763,10,20,30,40,5.000000
1.130000,0.899388,0.0421462,-0.550519,10,20,30,40,5.000000
1.140000,0.899388,0.0421462,-0.56036,10,20,30,40,5.000000
1.150000,0.899388,0.0421462,-0.570287,10,20,30,40,5.000000
1.160000,0.899388,0.0421462,-0.580299,10,20,30,40,5.000000
1.170000,0.899388,0.0421462,-0.590398,10,20,30,40,5.000000
1.180000,0.899388,0.0421462,-0.600582,10,20,30,40,5.000000
1.190000,0.899388,0.0421462,-0.610852,10,20,30,40,5.000000
1.200000,0.899388,0.0421462,-0.621207,10,20,30,40,5.000000
1.210000,0.899388,0.0421462,-0.631648,10,20,30,40,5.000000
1.220000,0.899388,0.0421462,-0.642174,10,20,30,40,5.000000
1.230000,0.899388,0.0421462,-0.652786,10,20,30,40,5.000000
1.240000,0.899388,0.0421462,-0.663484,10,20,30,40,5.000000
1.250000,0.899388,0.0421462,-0.674266,10,20,30,40,5.000000
1.260000,0.899388,0.0421462,-0.685135,10,20,30,40,5.000000
1.270000,0.899388,0.0421462,-0.696088,10,20,30,40,5.000000
1.280000,0.899388,0.0421462,-0.707127,10,20,30,40,5.000000
1.290000,0.899388,0.0421462,-0.718251,10,20,30,40,5.000000
1.300000,0.899388,0.0421462,-0.729461,10,20,30,40,5.000000
1.310000,0.899388,0.0421462,-0.740756,10,20,30,40,5.000000
1.320000,0.899388,0.0421462,-0.752135,10,20,30,40,5.000000
1.330000,0.899388,0.0421462,-0.7636,10,20,30,40,5.000000
1.340000,0.899388,0.0421462,-0.77515,10,20,30,40,5.000000
1.350000,0.899388,0.0421462,-0.786786,10,20,30,40,5.000000
1.360000,0.899388,0.0421462,-0.798506,10,20,30,40,5.000000
1.370000,0.899388,0.0421462,-0.810311,10,20,30,40,5.000000
1.380000,0.899388,0.0421462,-0.822201,10,20,30,40,5.000000
1.390000,0.899388,0.0421462,-0.834176,10,20,30,40,5.000000
1.400000,0.899388,0.0421462,-0.846236,10,20,30,40,5.000000
1.410000,0.899388,0.0421462,-0.858381,10,20,30,40,5.000000
1.420000,0.899388,0.0421462,-0.870611,10,20,30,40,5.000000
1.430000,0.899388,0.0421462,-0.882925,10,20,30,40,5.000000
1.440000,0.899388,0.0421462,-0.895324,10,20,30,40,5.000000
1.450000,0.899388,0.0421462,-0.907808,10,20,30,40,5.000000
1.460000,0.899388,0.0421462,-0.920377,10,20,30,40,5.000000
1.470000,0.899388,0.0421462,-0.93303,10,20,30,40,5.000000
1.480000,0.899388,0.0421462,-0.945768,10,20,30,40,5.000000
1.490000,0.899388,0.0421462,-0.95859,10,20,30,40,5.000000
1.500000,0.899388,0.0421462,-0.971497,10,20,30,40,5.000000
